id;zip;bfsnr;name;canton_id;district_id;planning_region_id;mountain_region_id;ase;greater_region_id;language_region_id;ms_region_id;job_market_region_id;agglomeration_id;metropole_region_id;tourism_region_id;municipal_size_class_id;urban_character_id;agglomeration_size_class_id;is_town;degurba_id;municipal_type22_id;municipal_type9_id;ms_region_typology_id;alternate_names;lat;long;lv03_easting;lv03_northing;noise_level;steuerfuss_gde;steuerfuss_kanton
1595;3285;2259;Galmiz;10;1005;1004;0;0;2;1;42;4;0;0;13;8;0;0;0;3;15;7;11;[];46.9493808;7.1585965;578681.33095299;199848.927681639;54.8928199791883;0.72;1
985;2027;6409;Fresens;24;2401;2401;3;0;2;2;102;5;0;0;8;8;0;0;0;3;8;6;8;[];46.8883144;6.747402;547318.862570229;193254.450282417;38.1716961498439;0.72;1.23
1015;2068;6454;Hauterive (NE);24;2404;2401;1;0;2;2;102;5;6458;9;8;6;2;4;0;2;13;2;8;[];47.0133299;6.972712;564572.965989581;207025.341287614;53.9979188345473;0.72;1.23
980;2019;6413;Rochefort;24;2401;2402;3;0;2;2;102;5;6458;9;8;7;4;4;0;3;14;4;8;[];46.9778631;6.8084757;552053.438487335;203170.035111667;53.0832466181061;0.72;1.23
993;2035;6413;Rochefort;24;2401;2402;3;0;2;2;102;5;6458;9;8;7;4;4;0;3;14;4;8;[];46.9778631;6.8084757;552053.438487335;203170.035111667;53.0832466181061;0.72;1.23
998;2037;6413;Rochefort;24;2401;2402;3;0;2;2;102;5;6458;9;8;7;4;4;0;3;14;4;8;[];46.9778631;6.8084757;552053.438487335;203170.035111667;53.0832466181061;0.72;1.23
1028;2103;6413;Rochefort;24;2401;2402;3;0;2;2;102;5;6458;9;8;7;4;4;0;3;14;4;8;[];46.9778631;6.8084757;552053.438487335;203170.035111667;53.0832466181061;0.72;1.23
1046;2149;6413;Rochefort;24;2401;2402;3;0;2;2;102;5;6458;9;8;7;4;4;0;3;14;4;8;[];46.9778631;6.8084757;552053.438487335;203170.035111667;53.0832466181061;0.72;1.23
1054;2318;6413;Rochefort;24;2401;2402;3;0;2;2;102;5;6458;9;8;7;4;4;0;3;14;4;8;[];46.9778631;6.8084757;552053.438487335;203170.035111667;53.0832466181061;0.72;1.23
989;2028;6414;Saint-Aubin-Sauges;24;2401;2401;1;0;2;2;102;5;0;0;8;6;0;0;0;3;17;6;8;[];46.894585;6.7737479;549332.617325474;193934.120240909;51.8291666666667;0.72;1.23
983;2024;6414;Saint-Aubin-Sauges;24;2401;2401;1;0;2;2;102;5;0;0;8;6;0;0;0;3;17;6;8;[];46.894585;6.7737479;549332.617325474;193934.120240909;51.8291666666667;0.72;1.23
987;2027;6414;Saint-Aubin-Sauges;24;2401;2401;1;0;2;2;102;5;0;0;8;6;0;0;0;3;17;6;8;[];46.894585;6.7737479;549332.617325474;193934.120240909;51.8291666666667;0.72;1.23
402;1329;5748;Bretonnières;22;2224;2214;3;0;1;2;90;2;0;0;9;8;0;0;0;3;16;7;3;[];46.7122384;6.4734908;526202.691800675;173902.462777045;45.0939457202505;0.72;1.545
424;1373;5749;Chavornay;22;2224;2214;0;0;1;2;90;2;0;0;9;6;4;2;0;3;15;7;3;[];46.706261;6.5693871;533527.448736237;173152.179170827;44.4895615866388;0.72;1.545
473;1435;5749;Chavornay;22;2224;2214;0;0;1;2;90;2;0;0;9;6;4;2;0;3;15;7;3;[];46.706261;6.5693871;533527.448736237;173152.179170827;44.4895615866388;0.72;1.545
541;1530;5816;Corcelles-près-Payerne;22;2222;2217;0;0;1;2;93;2;0;0;9;6;6;0;0;2;16;7;11;[];46.84382325;6.96849906538453;564139.314333963;188183.656391652;34.9958376690947;0.72;1.545
564;1562;5816;Corcelles-près-Payerne;22;2222;2217;0;0;1;2;93;2;0;0;9;6;6;0;0;2;16;7;11;[];46.84382325;6.96849906538453;564139.314333963;188183.656391652;34.9958376690947;0.72;1.545
527;1521;5669;Curtilles;22;2222;2218;1;0;1;2;93;2;0;0;9;8;0;0;0;3;19;8;11;[];46.7005524;6.8486858;554880.539137619;172318.892720614;50.270551508845;0.72;1.545
94;1078;5788;Essertes;22;2226;2219;1;0;1;2;93;2;0;0;9;8;4;2;0;3;15;7;11;[];46.561225;6.785426;549913.312350356;156869.187754713;56.5993756503642;0.72;1.545
52;1041;5804;Jorat-Menthue;22;2223;2218;1;0;1;2;93;2;0;0;9;7;4;2;0;3;15;7;11;[];46.6305367;6.71920732198482;544906.715833208;164618.420520482;44.3870967741936;0.72;1.545
70;1058;5804;Jorat-Menthue;22;2223;2218;1;0;1;2;93;2;0;0;9;7;4;2;0;3;15;7;11;[];46.6305367;6.71920732198482;544906.715833208;164618.420520482;44.3870967741936;0.72;1.545
72;1059;5804;Jorat-Menthue;22;2223;2218;1;0;1;2;93;2;0;0;9;7;4;2;0;3;15;7;11;[];46.6305367;6.71920732198482;544906.715833208;164618.420520482;44.3870967741936;0.72;1.545
73;1061;5804;Jorat-Menthue;22;2223;2218;1;0;1;2;93;2;0;0;9;7;4;2;0;3;15;7;11;[];46.6305367;6.71920732198482;544906.715833208;164618.420520482;44.3870967741936;0.72;1.545
74;1062;5804;Jorat-Menthue;22;2223;2218;1;0;1;2;93;2;0;0;9;7;4;2;0;3;15;7;11;[];46.6305367;6.71920732198482;544906.715833208;164618.420520482;44.3870967741936;0.72;1.545
77;1063;5804;Jorat-Menthue;22;2223;2218;1;0;1;2;93;2;0;0;9;7;4;2;0;3;15;7;11;[];46.6305367;6.71920732198482;544906.715833208;164618.420520482;44.3870967741936;0.72;1.545
569;1565;5821;Missy;22;2222;2217;0;0;1;2;93;2;0;0;9;8;0;0;0;3;21;9;11;[];46.8798752;6.9698165;564263.769432361;192190.864730173;45.5972944849116;0.72;1.545
439;1409;5693;Montanaire;22;2223;2218;1;0;1;2;93;2;0;0;9;6;4;2;0;3;20;8;11;[];46.6941453;6.7609464813666;548164.160644822;171660.816132169;33.7575442247659;0.72;1.545
45;1038;5693;Montanaire;22;2223;2218;1;0;1;2;93;2;0;0;9;6;4;2;0;3;20;8;11;[];46.6941453;6.7609464813666;548164.160644822;171660.816132169;33.7575442247659;0.72;1.545
76;1063;5693;Montanaire;22;2223;2218;1;0;1;2;93;2;0;0;9;6;4;2;0;3;20;8;11;[];46.6941453;6.7609464813666;548164.160644822;171660.816132169;33.7575442247659;0.72;1.545
441;1410;5693;Montanaire;22;2223;2218;1;0;1;2;93;2;0;0;9;6;4;2;0;3;20;8;11;[];46.6941453;6.7609464813666;548164.160644822;171660.816132169;33.7575442247659;0.72;1.545
526;1515;5693;Montanaire;22;2223;2218;1;0;1;2;93;2;0;0;9;6;4;2;0;3;20;8;11;[];46.6941453;6.7609464813666;548164.160644822;171660.816132169;33.7575442247659;0.72;1.545
416;1354;5756;Montcherand;22;2224;2214;1;0;1;2;90;2;0;0;9;8;0;0;0;3;15;7;3;[];46.7330803;6.5102099;529037.627732091;176185.276964926;47.4599375650364;0.72;1.545
480;1441;5933;Valeyres-sous-Montagny;22;2224;2212;1;0;1;2;91;2;5938;2;9;8;2;5;0;3;11;4;5;[];46.8007199;6.60172929048741;536112.736508386;183625.38136371;47.9146722164412;0.72;1.545
764;1754;2174;Avry;10;1004;1001;0;0;2;2;39;4;2196;9;13;7;4;3;0;3;12;2;8;[];46.787867;7.060304;571111.909223513;181925.319542797;39.7107180020812;0.721;1
1541;3216;2276;Ried bei Kerzers;10;1005;1004;0;0;2;1;42;4;0;0;13;7;0;0;0;3;20;8;11;[];46.9662667;7.1749646248416;579933.703921356;201721.781456004;47.321540062435;0.725;1
759;1748;2115;Torny;10;1002;1006;1;0;2;2;43;4;0;0;13;8;0;0;0;3;16;7;11;[];46.766876;6.95784;563273.835764562;179634.821508884;44.417273673257;0.727;1
760;1749;2115;Torny;10;1002;1006;1;0;2;2;43;4;0;0;13;8;0;0;0;3;16;7;11;[];46.766876;6.95784;563273.835764562;179634.821508884;44.417273673257;0.727;1
4610;9056;3101;Appenzell;16;1600;1601;4;0;5;1;52;12;0;0;2;5;0;0;0;2;4;6;14;[];47.3303856;9.4095307;748960.802604865;244039.978566919;52.0198744769874;0.73;0.96
4595;9050;3101;Appenzell;16;1600;1601;4;0;5;1;52;12;0;0;2;5;0;0;0;2;4;6;14;[];47.3303856;9.4095307;748960.802604865;244039.978566919;52.0198744769874;0.73;0.96
594;1614;2328;Granges (Veveyse);10;1007;1006;1;0;2;2;43;4;0;0;13;8;5;0;0;3;15;7;11;[];46.5278223;6.82488363179306;552909.705674817;153131.620394644;35.5931321540062;0.73;1
610;1628;2148;Riaz;10;1003;1002;4;0;2;2;40;4;2125;9;13;6;2;5;0;2;14;4;9;[];46.640249;7.0616291;571134.149218534;165514.768465328;53.8760416666667;0.73;1
613;1632;2148;Riaz;10;1003;1002;4;0;2;2;40;4;2125;9;13;6;2;5;0;2;14;4;9;[];46.640249;7.0616291;571134.149218534;165514.768465328;53.8760416666667;0.73;1
4024;8239;2915;Dörflingen;14;1402;1401;0;0;5;1;50;11;2939;1;2;8;4;4;0;3;11;4;4;[];47.7073736;8.7203932;696196.218374712;284870.991149743;51.531737773153;0.73;1.15
395;1321;5743;Arnex-sur-Orbe;22;2224;2214;1;0;1;2;90;2;0;0;9;8;0;0;0;3;16;7;3;[];46.6883074;6.51529472770701;529367.61667317;171203.806779899;45.4068678459938;0.73;1.545
423;1372;5746;Bavois;22;2224;2214;0;0;1;2;90;2;0;0;9;8;4;2;0;3;15;7;3;[];46.6852168;6.5651139;533174.594678589;170816.550835153;48.4880332986472;0.73;1.545
